director,belongs_to_collection,budget,id,popularity,revenue,runtime,belongs_to_collection.id,averageRating,numVotes,ROI,movies
Francis Ford Coppola,,23012500.0,493.375,21.047874999999998,87621665.125,139.75,230.0,7.8625,496340.125,7.8575098441488445,8
Francis Lawrence,,100000000.0,561.0,48.796,230884728.0,121.0,,7.0,308922.0,2.30884728,1
Franco Zeffirelli,,3000000.0,2587.0,4.293,0.0,135.0,,7.2,4195.0,0.0,1
Frank Capra,,2170862.5,1967.3333333333333,12.949333333333334,4790687.333333333,125.0,,7.95,115769.0,4.167172528902458,6
Frank Darabont,,42500000.0,387.5,45.492999999999995,157571421.5,165.5,,8.95,1759345.5,2.95684083,2
Frank Oz,,9.0,2196.0,13.214,8.0,90.0,,7.4,110193.0,0.8888888888888888,1
Franklin J. Schaffner,,5800000.0,871.0,18.358,32589624.0,112.0,1709.0,8.0,165839.0,5.618900689655172,1
François Ozon,,7900000.0,1130.0,9.9365,11220661.5,106.5,,6.9,36111.5,1.4385463461538461,2
François Truffaut,,979400.0,1897.2,8.221,4261200.0,109.8,185682.0,7.42,17799.0,4.856447791164658,5
Fred M. Wilcox,,1900000.0,830.0,16.918,3250000.0,98.0,,7.6,45459.0,1.7105263157894737,1
Fred Zinnemann,,2315000.0,581.0,10.234,18175000.0,102.5,,7.800000000000001,64628.0,9.114067439409904,2
Fritz Lang,,1300000.0,19.0,17.671,650422.0,149.0,,8.3,161116.0,0.5003246153846154,1
Gabor Csupo,,60000000.0,1265.0,28.119,137587063.0,96.0,,7.1,144003.0,2.2931177166666665,1
Gabriele Muccino,,55000000.0,1402.0,21.547,307077295.0,117.0,,8.0,452436.0,5.583223545454546,1
Garry Marshall,,40750000.0,3325.75,18.6935,211237413.75,118.0,,6.35,112639.75,9.817979164729064,4
Gary Fleder,,24000000.0,2682.5,12.523,4612043.0,109.0,,6.5,24429.5,0.141789375,2
Gary Ross,,87000000.0,4464.0,13.175,148336445.0,141.0,,7.3,67142.0,1.7050166091954022,1
Gary Sinyor,,51000000.0,2020.0,12.218,36911617.0,101.0,,5.1,16616.0,0.7237571960784314,1
Gavin Grazer,,7000000.0,4613.0,9.544,0.0,95.0,,6.0,6294.0,0.0,1
Gavin Hood,,76500000.0,1474.0,5.872,191471417.5,100.5,453993.0,6.9,248749.5,2.8902047133333335,2
Geoff Murphy,,60000000.0,3512.0,14.68,104324083.0,100.0,112399.0,5.5,44076.0,1.7387347166666667,1
George A. Romero,,650000.0,923.0,14.255,55000000.0,127.0,261590.0,7.9,111913.0,84.61538461538461,1
